tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
1;5_GDX_1D_L_A,<br>GDX (1 Day );Short;251;Entry;2007-01-03 12:00:00 AM;40.19;PTx1;2007-01-03 12:00:00 AM;38.58;401.61;402.86;-8.78
2;12_KRE_1D_L_A,<br>KRE (1 Day );Long;200;Entry;2007-01-03 12:00:00 AM;50.32;PTx1;2007-01-03 12:00:00 AM;50.94;121.499999999999;122.75;-27.25
3;11_XLF_1D_S_A,<br>XLF (1 Day );Long;335;Entry;2007-01-03 12:00:00 AM;30.02;TLx;2007-01-08 12:00:00 AM;29.5;-176.7;62.4;-175.45
4;26_XLF_1D_L_A,<br>XLF (1 Day );Long;335;Entry;2007-01-03 12:00:00 AM;30.02;TLx;2007-01-08 12:00:00 AM;29.5;-176.7;62.4;-175.45
5;5_GDX_1D_L_A,<br>GDX (1 Day );Short;265;Entry;2007-01-05 12:00:00 AM;36.65;PTx;2007-01-09 12:00:00 AM;36.29;92.9;94.15;-202.65
6;6_GDX_1D_L_A,<br>GDX (1 Day );Long;260;Entry;2007-01-04 12:00:00 AM;38.1;TLx;2007-01-09 12:00:00 AM;36.29;-473.100000000001;35.15;-471.85
7;54_QQQ_1D_L_A,<br>QQQ (1 Day );Long;232;Entry;2007-01-03 12:00:00 AM;43.46;TimeX;2007-01-09 12:00:00 AM;44.1;145.98;191.31;-219.33
8;69_FXI_1D_L_A,<br>FXI (1 Day );Long;267;Entry;2007-01-05 12:00:00 AM;36.79;SLx;2007-01-09 12:00:00 AM;34.99;-483.099999999999;0;-481.85
9;3_QQQ_1D_L_A,<br>QQQ (1 Day );Long;228;Entry;2007-01-09 12:00:00 AM;44.01;ProfX;2007-01-11 12:00:00 AM;45.08;241.46;279.19;-87.89
10;63_QQQ_1D_L_A,<br>QQQ (1 Day );Long;228;Entry;2007-01-09 12:00:00 AM;44.01;ProfX;2007-01-11 12:00:00 AM;45.08;241.46;279.19;-87.89
11;81_IWM_1D_L_A,<br>IWM (1 Day );Long;130;Entry;2007-01-08 12:00:00 AM;76.95;ProfX;2007-01-11 12:00:00 AM;78.23;163.9;205.45;-100.05
12;98_TLT_1D_S_A,<br>TLT (1 Day );Short;112;Entry;2007-01-04 12:00:00 AM;89.22;TimeX;2007-01-11 12:00:00 AM;88.45;83.74;106.27;-49.41
13;28_SPY_1D_L_A,<br>SPY (1 Day );Long;71;Entry;2007-01-09 12:00:00 AM;141.31;TimeX;2007-01-12 12:00:00 AM;142.15;57.14;91.76;-72.96
14;79_SMH_1D_L_A,<br>SMH (1 Day );Long;591;Entry;2007-01-08 12:00:00 AM;17;ProfX;2007-01-12 12:00:00 AM;17.55;322.55;418.36;-72.17
15;96_TLT_1D_S_A,<br>TLT (1 Day );Short;112;Entry;2007-01-09 12:00:00 AM;89.48;ProfX;2007-01-12 12:00:00 AM;88.04;158.78;175.71;-1.25
16;8_SMH_1D_L_A,<br>SMH (1 Day );Long;594;Entry;2007-01-03 12:00:00 AM;16.93;TimeX;2007-01-16 12:00:00 AM;17.36;252.92;462.07;-215.09
17;22_SPY_1D_L_A,<br>SPY (1 Day );Long;71;Entry;2007-01-10 12:00:00 AM;140.58;ProfX;2007-01-16 12:00:00 AM;142.96;166.48;201.81;-21.13
18;40_SPY_1D_L_A,<br>SPY (1 Day );Long;71;Entry;2007-01-11 12:00:00 AM;141.58;ProfX;2007-01-16 12:00:00 AM;142.96;95.48;130.81;-6.93
19;43_SPX_3D_L_A,<br>SPY (3 Days );Long;71;Entry;2007-01-05 12:00:00 AM;141.33;TimeX;2007-01-16 12:00:00 AM;142.96;113.23;148.56;-77.93
20;39_SPY_1D_L_A,<br>SPY (1 Day );Long;71;Entry;2007-01-05 12:00:00 AM;141.33;TimeX;2007-01-17 12:00:00 AM;143.02;117.49;149.98;-77.93
21;67_IWM_1D_L_A,<br>IWM (1 Day );Long;130;Entry;2007-01-10 12:00:00 AM;76.76;ProfX;2007-01-17 12:00:00 AM;78.11;172.999999999999;336.75;-25.95
22;78_SMH_1D_L_A,<br>SMH (1 Day );Long;582;Entry;2007-01-10 12:00:00 AM;17.12;ProfX;2007-01-17 12:00:00 AM;17.22;55.699999999999;342.13;-71.09
23;82_SPX_2D_L_A,<br>SPY (2 Days );Long;71;Entry;2007-01-09 12:00:00 AM;140.82;TimeX;2007-01-17 12:00:00 AM;143.02;153.700000000001;186.19;-41.72
